s1e01: -0.002119930.04278625-0.12909709
s1e02: -0.008398970.03713308-0.10638720
s1e03: 0.003931020.04544065-0.12232867
s1e04: 0.002330790.03070792-0.12322051
s1e05: -0.008548670.03634118-0.12870256
s1e06: 0.002192930.03407837-0.10448933
s1e07: 0.001772630.04583436-0.12075299
s1e08: -0.010356350.04195071-0.14047999
s1e09: -0.003363940.03742149-0.11809474
s1e10: 0.005872480.03088705-0.12190020
s1e11: -0.000799800.04844162-0.13148131
s1e12: 0.001723780.03901954-0.12664039
s2e01: 0.001281180.03096481-0.11585563
s2e02: 0.008668660.03365275-0.11429218
s2e03: -0.004329660.03345243-0.11093417
s2e04: 0.005869590.03838606-0.13475032
s2e05: 0.011796470.04053893-0.13303872
s2e06: 0.007660400.03742283-0.11859484
s2e07: 0.006346450.03663630-0.13044959
s2e08: 0.002883790.03871414-0.11232836
s2e09: -0.008095420.03434968-0.11538378
s2e10: -0.012894460.02984067-0.10097644
s2e11: 0.006162500.04280903-0.12820993
s2e12: 0.001783260.03360066-0.12939665
s2e13: 0.006240530.05868128-0.14258909
s2e14: -0.003737320.05448862-0.12338026
s2e15: -0.001103450.03681723-0.12011905
s2e16: 0.014611400.04078694-0.13500952
s2e17: -0.001814510.03766919-0.13065514
s2e18: 0.005738770.02492777-0.11751904
s2e19: 0.005255360.03028204-0.11176259
s2e20: 0.004781220.03961696-0.11597644
s2e21: -0.008913870.04063561-0.10286058
s2e22: -0.008177410.04026753-0.11759332
s3e01: 0.007802780.03127318-0.12080980
s3e02: 0.010444230.04338878-0.12610010
s3e03: 0.001763560.04279933-0.12346337
s3e04: 0.003062000.03593778-0.12043688
s3e05: 0.004894500.04516783-0.12843687
s3e06: 0.007548940.04243160-0.12291736
s3e07: -0.012018770.04956050-0.10923614
s3e08: 0.002177480.03814273-0.11916835
s3e09: 0.001738230.05251044-0.11258343
s3e10: 0.002112180.05197515-0.12631575
s3e11: -0.000677380.03240309-0.12299355
s3e12: 0.001801880.04700954-0.11017324
s3e13: 0.003004820.03390008-0.10956788
s3e14: -0.006011530.04184676-0.11543581
s3e15: -0.007163710.04211905-0.11169415
s3e16: 0.001619470.03456231-0.10914447
s3e17: -0.002563040.05822809-0.12140602
s3e18: -0.002327470.04514357-0.11234817
s3e19: -0.002632270.04926320-0.12794188
s3e20: 0.008398940.04420109-0.12266942
