s1e01: -0.001933470.00874157-0.11176055
s1e02: -0.004172300.01303508-0.09011464
s1e03: 0.007723330.01397199-0.11064010
s1e04: 0.00541208-0.00118005-0.11034197
s1e05: -0.005884060.00730061-0.11037473
s1e06: 0.003330090.00068930-0.09605239
s1e07: -0.000137250.01768593-0.11270794
s1e08: -0.010321560.00733596-0.12672240
s1e09: -0.00120606-0.00116257-0.10016077
s1e10: 0.004390370.00211639-0.10421407
s1e11: 0.004176120.01745030-0.12440148
s1e12: -0.001408590.00384806-0.10753336
s2e01: -0.000375670.00233399-0.10142743
s2e02: 0.010202040.01446367-0.10205243
s2e03: -0.000272850.00313700-0.09365831
s2e04: 0.009177250.01474293-0.12077591
s2e05: 0.011355620.01251910-0.11799502
s2e06: 0.00658950-0.00206782-0.09979715
s2e07: 0.008275090.00540675-0.11776689
s2e08: 0.004321790.00356020-0.09842088
s2e09: -0.00341419-0.00666298-0.10995298
s2e10: -0.00767975-0.00609628-0.08380306
s2e11: 0.007624640.00293185-0.11262383
s2e12: 0.00482385-0.00805384-0.11743113
s2e13: 0.004741510.01362461-0.12182406
s2e14: -0.001292010.01392123-0.10631977
s2e15: 0.002716130.00519690-0.09873051
s2e16: 0.00999079-0.00430086-0.11416856
s2e17: 0.00249957-0.00528107-0.12030078
s2e18: 0.00193084-0.02311543-0.10673857
s2e19: 0.00606208-0.00407302-0.09908751
s2e20: 0.006743100.00319837-0.09567567
s2e21: -0.00264933-0.00183126-0.08908293
s2e22: -0.00078578-0.00084708-0.08695096
s3e01: 0.00409739-0.00975838-0.09391956
s3e02: 0.009660360.00039187-0.10313444
s3e03: 0.004482200.01318162-0.10846289
s3e04: 0.00279103-0.00322007-0.09598942
s3e05: 0.007101930.00780470-0.11046926
s3e06: 0.00835425-0.00195660-0.10305376
s3e07: -0.009383570.00422352-0.09748721
s3e08: 0.00283874-0.00571053-0.08877761
s3e09: 0.001880790.00784366-0.09295958
s3e10: 0.003785250.01113083-0.12676294
s3e11: 0.00136185-0.00011410-0.11087672
s3e12: 0.00372955-0.00968464-0.09401921
s3e13: 0.00295199-0.00159735-0.08478765
s3e14: -0.009381380.00835835-0.08512766
s3e15: -0.009212130.01186525-0.11213376
s3e16: 0.00058076-0.00547085-0.07810216
s3e17: -0.007759880.05282928-0.12589091
s3e18: -0.001928190.01769993-0.10409545
s3e19: -0.008239710.02472278-0.11949370
s3e20: 0.005906350.02838496-0.11841270
s3e21: -0.005393670.03623857-0.11005716
s3e22: -0.009110260.00214901-0.10586339
