s1e01: 0.007465090.04025482-0.12202563
s1e02: -0.012234440.03203889-0.12674057
s1e03: 0.010662360.08456814-0.14495846
s1e04: -0.000873790.01611519-0.09051718
s1e05: -0.006174350.03204033-0.14178993
s1e06: 0.002340120.05646894-0.11052733
s1e07: 0.002762910.04110293-0.13567764
s1e08: -0.006764570.04239672-0.14257085
s1e09: -0.002414310.03474794-0.09559907
s1e10: -0.001425210.03424378-0.14352279
s1e11: 0.005345220.03616293-0.13300789
s1e12: 0.005448320.04433204-0.11316098
s2e01: -0.000634350.03587068-0.11553309
s2e02: 0.011530590.01657528-0.10784701
s2e03: -0.003300310.03844236-0.13992461
s2e04: 0.007564150.02868359-0.13150788
s2e05: 0.006886250.03298457-0.13352642
s2e06: -0.001127260.02301796-0.12372423
s2e07: 0.006398280.03786167-0.12013380
s2e08: 0.001935320.03914613-0.09848279
s2e09: -0.013410180.02086312-0.12206289
s2e10: -0.008656320.03311896-0.09555424
s2e11: 0.005066980.04906951-0.12662476
s2e12: 0.000450410.03613351-0.13009398
s2e13: -0.010559280.05759486-0.15895073
s2e14: -0.009516750.05619757-0.13009853
s2e15: -0.002877530.02227783-0.11356495
s2e16: 0.014670460.03561553-0.14723004
s2e17: -0.014043320.02709462-0.15072459
s2e18: 0.008673400.03415631-0.10136245
s2e19: 0.003626660.02802611-0.08439125
s2e20: 0.011051490.05012506-0.11389820
s2e21: -0.000373060.05873921-0.11219679
s2e22: -0.008322440.05711863-0.10347939
s3e01: 0.011455460.03750335-0.13487771
s3e02: 0.010450020.04670816-0.13667805
s3e03: 0.001744530.05753717-0.13583188
s3e04: 0.003270390.01343330-0.13845722
s3e05: 0.005929270.06461269-0.14352030
s3e06: 0.008552770.04798435-0.14631010
s3e07: -0.004836890.05013368-0.11346779
s3e08: -0.003938240.06444966-0.12280887
s3e09: 0.003076030.05602201-0.12594193
s3e10: 0.001763820.05518552-0.13917324
s3e11: -0.006221770.02300194-0.14401900
s3e12: 0.013828950.04744654-0.10794689
s3e13: -0.006585640.03925320-0.07550127
s3e14: -0.001925880.03929203-0.11200049
s3e15: -0.008298940.03999362-0.12321079
s3e16: -0.022563540.06402374-0.12149127
s3e17: -0.005665590.04961212-0.13859010
s3e18: -0.006230610.03680545-0.11762487
s3e19: -0.005918290.05724001-0.14219445
s3e20: 0.008141740.04023995-0.11994701
s3e21: 0.002060620.05115165-0.10263376
s3e22: -0.008721440.05904049-0.10821149
s4e01: 0.001887000.04017347-0.13994387
s4e02: 0.001434220.03420826-0.13829762
s4e03: 0.003231600.01844489-0.13305897
s4e04: 0.002182860.04544414-0.10805737
s4e05: 0.026887690.02492866-0.07639326
s4e06: -0.004926230.04947570-0.11470405
s4e07: 0.019888710.03803134-0.11445471
s4e08: 0.000025160.04624125-0.13412991
s4e09: 0.008328730.05454014-0.12580297
s4e10: 0.007200390.05670150-0.14626923
s4e11: -0.006369730.02343022-0.08486368
s4e12: -0.002985130.04308210-0.10689531
s4e13: -0.011942410.04210480-0.11826079
s4e14: -0.001679350.02866134-0.09364025
s4e15: -0.008662300.04447282-0.11599188
s4e16: -0.014801720.09424807-0.16735841
s4e17: -0.003498750.05097924-0.11846203
s4e18: -0.00391345-0.00266089-0.09775753
s4e19: -0.007691260.06696625-0.10639293
s4e20: -0.005963040.01792045-0.09652786
s4e21: -0.013467470.05201700-0.11444895
s4e22: -0.004478150.03755872-0.13459353
s5e01: -0.002447310.03829006-0.12141647
s5e02: -0.002273530.03836658-0.13616952
s5e03: -0.004477210.02111257-0.04657577
s5e04: -0.003296640.03905937-0.09707225
s5e05: 0.006772760.03559386-0.14265800
s5e06: 0.006361420.05572497-0.13694196
s5e07: -0.008861880.06489698-0.06685984
s5e08: -0.004749320.04649469-0.13125682
s5e09: -0.007574180.02824554-0.15885307
s5e10: -0.001586070.04998117-0.14318955
s5e11: -0.000575790.04418265-0.13330337
s5e12: -0.007775900.06981294-0.12988579
s5e13: 0.006157180.06667091-0.14486249
s5e14: -0.001971000.01919684-0.09413663
s5e15: 0.009254590.05705399-0.13529355
s5e16: -0.003372560.03153318-0.15075446
s5e17: -0.004008740.03605064-0.17830108
s5e18: -0.009490070.04779029-0.11241204
s5e19: -0.001059340.03802915-0.16622693
s5e20: -0.011796210.02941413-0.11320909
s5e21: 0.012725470.05841625-0.13589465
s5e22: -0.009648810.06778490-0.12780551
s6e01: NoneNoneNone
s6e02: NoneNoneNone
s6e03: -0.012016860.00868980-0.11877569
s6e04: 0.001540850.01562567-0.13348813
s6e05: 0.008728680.03148888-0.11919667
s6e06: 0.018016930.05553749-0.13484976
s6e07: 0.016832720.05252200-0.09101814
s6e08: 0.013673700.03322207-0.10607986
s6e09: 0.010411060.01354450-0.09570494
s6e10: 0.002386090.04038664-0.12298942
s6e11: 0.001694400.02540264-0.13492958
s6e12: 0.002966320.04391822-0.13591128
s6e13: 0.005870490.01878503-0.10717107
s6e14: -0.000072870.03624142-0.15276374
s6e15: 0.010504800.03358648-0.12568797
s6e16: -0.006103460.04773502-0.12122042
s6e17: -0.002666710.02277722-0.12700925
s6e18: 0.013825720.03786860-0.10657360
s6e19: 0.003248150.01839101-0.09943820
s6e20: 0.003203420.05851604-0.12663809
s6e21: 0.000443050.04400457-0.09015838
s6e22: 0.001236760.04263264-0.15303531
s7e01: -0.004086680.03036075-0.11641655
s7e02: 0.007443050.02619416-0.11089398
s7e03: -0.001097160.01375604-0.11751234
s7e04: 0.004132600.03083641-0.09951872
s7e05: -0.001767580.05913939-0.09999519
