s1e01: -0.008480920.01428018-0.10151045
s1e02: 0.002445360.02043458-0.08015013
s1e03: 0.020725050.03585355-0.13665785
s1e04: -0.01745087-0.01172761-0.13032148
s1e05: 0.003078840.03620516-0.14167118
s1e06: NoneNoneNone
s1e07: 0.058590870.04251981-0.10279774
s1e08: NoneNoneNone
s1e09: 0.009148680.03249716-0.13157956
s1e10: -0.041506890.07751244-0.17427794
s1e11: -0.002217350.06196771-0.14306854
s1e12: 0.027057820.04297901-0.17251867
s2e01: -0.013537560.03921925-0.12504529
s2e02: 0.011763450.07377068-0.10567695
s2e03: -0.012422310.03290832-0.13526749
s2e04: 0.00317181-0.01345058-0.14174025
s2e05: 0.003245370.06612728-0.15918081
s2e06: 0.009459420.03083407-0.12608003
s2e07: 0.018334860.06341927-0.14122977
s2e08: -0.016001150.02648030-0.10092244
s2e09: 0.000124170.05266091-0.10655120
s2e10: -0.003075420.00340671-0.09044539
s2e11: 0.012213900.07185964-0.09640167
s2e12: 0.015739450.03988289-0.12940394
s2e13: 0.047180130.06040333-0.15630662
s2e14: 0.003921940.05704924-0.06172294
s2e15: -0.001089610.00716257-0.13358177
s2e16: 0.016048540.01844744-0.10835738
s2e17: 0.004487280.06827022-0.15226402
s2e18: 0.007228730.00739086-0.10328977
s2e19: 0.005004670.02495073-0.07189529
s2e20: 0.003705790.06652244-0.12358985
s2e21: 0.005639550.00216688-0.10315875
s2e22: 0.012835520.06981157-0.11940643
s3e01: 0.017836040.02969832-0.12727869
s3e02: 0.029760940.01952217-0.09819629
s3e03: 0.005163030.01226174-0.07829618
s3e04: -0.029590970.13664121-0.09776221
s3e05: 0.019139700.05099691-0.10327563
s3e06: -0.019239670.02362567-0.16522552
s3e07: 0.014484610.02859415-0.10860191
s3e08: -0.010634990.03779441-0.15578679
s3e09: 0.003547730.03442714-0.12372442
s3e10: NoneNoneNone
s3e11: -0.00822768-0.03336613-0.07446469
s3e12: -0.002256090.03307373-0.10682318
s3e13: -0.001059680.04578348-0.09233274
s3e14: NoneNoneNone
s3e15: 0.000496850.04076581-0.09193830
s3e16: -0.005216850.05968843-0.13258791
s3e17: -0.011540240.01867157-0.16733837
s3e18: -0.001865910.06939890-0.10871797
s3e19: 0.007401660.05181974-0.08112026
s3e20: 0.011965730.02195010-0.12424221
s3e21: -0.014059720.02957608-0.09328936
s3e22: -0.010277070.06874486-0.12234737
s4e01: NoneNoneNone
s4e02: NoneNoneNone
s4e03: NoneNoneNone
s4e04: NoneNoneNone
s4e05: NoneNoneNone
s4e06: NoneNoneNone
s4e07: NoneNoneNone
s4e08: NoneNoneNone
s4e09: NoneNoneNone
s4e10: NoneNoneNone
s4e11: NoneNoneNone
s4e12: NoneNoneNone
s4e13: NoneNoneNone
s4e14: NoneNoneNone
s4e15: NoneNoneNone
s4e16: NoneNoneNone
s4e17: NoneNoneNone
s4e18: NoneNoneNone
s4e19: NoneNoneNone
s4e20: NoneNoneNone
s4e21: NoneNoneNone
s4e22: NoneNoneNone
s5e01: NoneNoneNone
s5e02: NoneNoneNone
s5e03: NoneNoneNone
s5e04: NoneNoneNone
s5e05: NoneNoneNone
s5e06: NoneNoneNone
s5e07: NoneNoneNone
s5e08: NoneNoneNone
s5e09: NoneNoneNone
s5e10: NoneNoneNone
s5e11: NoneNoneNone
s5e12: NoneNoneNone
s5e13: NoneNoneNone
s5e14: NoneNoneNone
s5e15: NoneNoneNone
s5e16: NoneNoneNone
s5e17: NoneNoneNone
s5e18: NoneNoneNone
s5e19: NoneNoneNone
s5e20: NoneNoneNone
s5e21: NoneNoneNone
s5e22: NoneNoneNone
s6e01: NoneNoneNone
s6e02: NoneNoneNone
s6e03: NoneNoneNone
s6e04: NoneNoneNone
s6e05: NoneNoneNone
s6e06: NoneNoneNone
s6e07: NoneNoneNone
s6e08: NoneNoneNone
s6e09: NoneNoneNone
s6e10: NoneNoneNone
s6e11: NoneNoneNone
s6e12: NoneNoneNone
s6e13: NoneNoneNone
s6e14: NoneNoneNone
s6e15: NoneNoneNone
s6e16: NoneNoneNone
s6e17: NoneNoneNone
s6e18: NoneNoneNone
s6e19: NoneNoneNone
s6e20: NoneNoneNone
s6e21: NoneNoneNone
s6e22: NoneNoneNone
s7e01: NoneNoneNone
s7e02: NoneNoneNone
s7e03: NoneNoneNone
s7e04: NoneNoneNone
s7e05: NoneNoneNone
s7e06: NoneNoneNone
s7e07: NoneNoneNone
s7e08: NoneNoneNone
s7e09: NoneNoneNone
s7e10: NoneNoneNone
s7e11: NoneNoneNone
s7e12: NoneNoneNone
s7e13: NoneNoneNone
s7e14: NoneNoneNone
s7e15: NoneNoneNone
s7e16: NoneNoneNone
s7e17: NoneNoneNone
s7e18: NoneNoneNone
s7e19: NoneNoneNone
s7e20: NoneNoneNone
s7e21: NoneNoneNone
s7e22: NoneNoneNone
