100: -0.03669971-0.06850696-0.11036594
200: -0.01610755-0.00265562-0.09971819
300: 0.01312073-0.02308673-0.05425822
400: 0.007232070.00251298-0.08748326
500: 0.015258550.07822077-0.16430061
600: 0.01886771-0.02907237-0.06778103
700: -0.008420680.07621984-0.16645678
800: 0.011598370.01493837-0.17906876
900: -0.00175934-0.01631168-0.12100613
1000: 0.02544219-0.06935788-0.07561486
1100: 0.049672650.01538423-0.09824567
1200: -0.00702747-0.05406553-0.08641805
1300: -0.000872420.00821055-0.11645903
1400: 0.003556090.04151238-0.14925178
1500: 0.019200430.01423493-0.14634083
1600: -0.00995968-0.01213236-0.14473268
1700: -0.02898814-0.03395946-0.14238973
1800: 0.015776130.05016865-0.18459637
1900: 0.006535550.04114205-0.16084079
2000: -0.00462186-0.01950052-0.13817152
2100: -0.001782200.01951143-0.12266287
2200: 0.025136070.10579114-0.10765943
2300: 0.000423890.11187157-0.22831543
2400: -0.04024355-0.04998942-0.10867633
2500: 0.004244400.02482948-0.14116662
2600: 0.019994390.06469853-0.09933758
2700: -0.01416932-0.06996400-0.05679547
2800: 0.00806395-0.01723412-0.06259402
2900: -0.01266978-0.10252983-0.10841717
3000: -0.007005810.00533005-0.10201827
3100: -0.012101520.03207848-0.07014407
3200: -0.024190270.08569757-0.05981973
3300: -0.00606696-0.00783330-0.09530177
3400: -0.012942580.06472837-0.01886426
3500: 0.008978790.00289250-0.03522224
3600: -0.02564718-0.03498900-0.09068629
3700: 0.00568267-0.01355937-0.16231758
3800: 0.008419370.07703491-0.22306295
3900: 0.002696730.04075045-0.10383736
4000: 0.00553436-0.00136352-0.10468466
4100: -0.01528232-0.04731584-0.04881855
4200: -0.009683380.02266234-0.10540591
4300: -0.01233367-0.00801408-0.15422890
4400: 0.021290740.05871908-0.16793542
4500: 0.013665750.01820870-0.15648839
4600: -0.00996829-0.04948338-0.15151332
4700: -0.003934910.04439344-0.16783698
4800: 0.020160720.03018753-0.16040458
4900: 0.017518440.07166785-0.19335588
5000: -0.028842480.04732330-0.12860661
5100: -0.002402600.05832584-0.07690956
5200: 0.011371130.00451126-0.09770695
5300: -0.031985020.06145986-0.13358223
5400: 0.013726500.07524729-0.17600950
5500: 0.00365802-0.01102135-0.14496852
5600: 0.01743244-0.03213337-0.09524937
5700: 0.024673000.01179758-0.08154400
5800: -0.007847710.04021550-0.15898082
5900: -0.027100240.02864220-0.13500329
6000: 0.01581595-0.01270983-0.11298674
6100: -0.053843950.02277807-0.11884152
6200: -0.02173197-0.06340370-0.07424433
6300: -0.00344703-0.06432037-0.05899234
6400: -0.01110627-0.02442093-0.05663407
6500: -0.007790380.07232425-0.08011995
6600: 0.01056626-0.03067430-0.02608960
6700: -0.010631950.02160184-0.11910362
6800: 0.007884090.02452064-0.02368614
6900: -0.03482708-0.064153430.02116954
7000: 0.00432652-0.01494279-0.06554643
7100: -0.035951520.01595371-0.09011907
7200: -0.00457359-0.00626107-0.05820524
