100: 0.008666950.00223280-0.19750982
200: 0.021042680.06593882-0.11926900
300: 0.01593520-0.01418855-0.08414000
400: 0.013088860.004151980.06208295
500: -0.03000744-0.03330634-0.15312902
600: -0.005207370.01918995-0.07292885
700: -0.00166900-0.07164521-0.04162900
800: -0.013214110.04453962-0.13156353
900: -0.004300250.02943717-0.12864923
1000: 0.012093720.03940377-0.08805100
1100: -0.02064027-0.12745156-0.12940027
1200: 0.03773482-0.01079712-0.13173912
1300: 0.027027690.10753514-0.16163103
1400: 0.03010862-0.01944209-0.10402803
1500: -0.00454354-0.04198564-0.12369521
1600: -0.009321390.00027476-0.17132968
1700: 0.010077530.03155927-0.08487578
1800: 0.015098920.01478573-0.12147100
1900: 0.04663641-0.02457174-0.14428003
2000: 0.020213590.01394617-0.11216439
2100: -0.004219950.07527960-0.15945108
2200: 0.037202630.00686427-0.08153905
2300: -0.01729927-0.00585475-0.15862570
2400: -0.04874430-0.00435305-0.13419377
2500: -0.025842330.02587100-0.11231900
2600: 0.008776870.01857228-0.13711359
2700: -0.005279720.06891092-0.11450015
2800: 0.00638236-0.07392548-0.12472343
2900: 0.018306220.02748420-0.15909073
3000: 0.044904580.06404191-0.17580685
3100: 0.025067740.04753019-0.13243302
3200: 0.005914520.06062605-0.17377412
3300: 0.024127500.05469584-0.14141503
3400: 0.00265059-0.01611861-0.08334937
3500: 0.005978790.00837336-0.19925797
3600: 0.01862806-0.04262450-0.11838404
3700: -0.013189460.03738708-0.06738178
3800: 0.00589212-0.00876953-0.06353944
3900: -0.018471060.01153706-0.11013659
4000: -0.030538530.05498217-0.08867100
4100: -0.01532328-0.01962649-0.09122536
4200: -0.023572220.02287500-0.14501056
4300: 0.017067560.00644161-0.09179856
4400: -0.02220773-0.00769117-0.13199746
4500: -0.006202530.03024300-0.07606933
4600: -0.026257130.05707258-0.12673705
4700: -0.02911405-0.05662368-0.14563461
4800: -0.008192020.04347049-0.13280988
4900: -0.020880300.01075124-0.12896337
5000: -0.028166200.06521678-0.13768802
5100: -0.024638930.02543747-0.08778519
5200: -0.013741130.01043352-0.11348190
5300: 0.00824393-0.04457993-0.10044844
5400: -0.01647850-0.00642844-0.07422960
5500: -0.01847474-0.05810867-0.08468636
5600: 0.00183936-0.00283767-0.06843538
5700: 0.017535260.00465221-0.08858098
5800: -0.00395426-0.00659228-0.12508672
5900: 0.022247520.05161032-0.08583075
6000: 0.02021733-0.01636253-0.05616898
6100: -0.00600849-0.04710014-0.07415863
6200: -0.002397470.00817077-0.16253188
6300: -0.03532669-0.05835556-0.09806402
6400: -0.02595169-0.02632296-0.11859800
6500: 0.00211827-0.03688337-0.01711263
6600: -0.007930480.00797957-0.15060717
6700: 0.001992240.01949559-0.02761334
6800: 0.00802086-0.01679914-0.01047572
6900: -0.01380568-0.02071820-0.02407666
7000: -0.00203945-0.00338662-0.06966533
7100: -0.00527520-0.06975485-0.04555615
7200: 0.007099590.03370221-0.12562771
7300: -0.011467440.03206749-0.15944049
7400: NoneNoneNone
