s1e01: -0.011512930.05444682-0.17603103
s1e02: -0.008442920.03649374-0.05177078
s1e03: 0.004345570.02748084-0.11768153
s1e04: 0.004524080.06599395-0.13703897
s1e05: -0.000072130.03881931-0.12402424
s1e06: 0.001786900.01070684-0.11069780
s1e07: -0.008701630.05447063-0.12875870
s1e08: 0.011781940.05382607-0.16893053
s1e09: -0.005886970.03338000-0.09602974
s1e10: 0.012878610.01331950-0.06475517
s1e11: -0.000355290.06129133-0.10954121
s1e12: -0.005948200.04975494-0.16305787
s2e01: 0.002976640.03153525-0.12179585
s2e02: 0.006260620.02432980-0.12458436
s2e03: -0.013633940.00354336-0.11785074
s2e04: 0.007339270.04445185-0.12596575
s2e05: 0.024972650.02969745-0.12931270
s2e06: 0.000672890.03795326-0.12886941
s2e07: 0.006930150.02147496-0.15907084
s2e08: 0.014989400.05865250-0.10351795
s2e09: 0.01240860-0.00183596-0.10034260
s2e10: -0.040234350.05287182-0.12239416
s2e11: 0.014260910.05630498-0.12171634
s2e12: -0.006873670.04513713-0.13987892
s2e13: 0.024873330.08495915-0.16120349
s2e14: -0.024314240.06207036-0.12533433
s2e15: 0.001013770.04068942-0.13286540
s2e16: 0.006132570.07528828-0.14253592
s2e17: -0.015172650.07287289-0.15424421
s2e18: 0.008881390.02131646-0.09541943
s2e19: 0.001644980.03311778-0.10715164
s2e20: -0.003834250.04406919-0.10787723
s2e21: -0.010238480.02961490-0.09399073
s2e22: -0.017711070.08029843-0.15020712
s3e01: 0.007709040.09710028-0.12607039
s3e02: 0.022070100.03188334-0.11481721
s3e03: -0.000227860.01830818-0.13971237
s3e04: -0.006013610.02438527-0.09168260
s3e05: 0.015083150.06496190-0.13180682
s3e06: 0.015334040.04375541-0.11766754
s3e07: -0.014919990.05623794-0.14766999
s3e08: 0.003165200.02362228-0.09875686
s3e09: 0.021318620.03233843-0.11940150
s3e10: 0.003717140.06651839-0.16873568
s3e11: 0.004357680.06618404-0.14183467
s3e12: 0.004529610.03463047-0.09116221
s3e13: 0.00433842-0.00431601-0.08963242
s3e14: 0.004208220.03995207-0.13277524
s3e15: -0.012297750.03595101-0.07814549
s3e16: 0.007715130.03515298-0.10104291
s3e17: -0.023141280.04719287-0.14858197
s3e18: 0.001074940.07462401-0.12444576
