s1e01: -0.013532680.03708009-0.12556798
s1e02: 0.002717560.03237250-0.12058729
s1e03: 0.001200740.02488429-0.11956198
s1e04: 0.015595030.02945959-0.14295497
s1e05: -0.010097440.04180507-0.16416317
s1e06: 0.012210790.02490495-0.09224066
s1e07: 0.022645420.03664117-0.09648441
s1e08: 0.003241410.04215572-0.12992445
s1e09: 0.003768130.02856008-0.12565436
s1e10: 0.021602100.02992691-0.11834143
s1e11: -0.000734520.05935034-0.14836394
s1e12: 0.013459140.03406858-0.12820273
s2e01: 0.005093810.02316457-0.10807762
s2e02: -0.001018090.04865436-0.10542638
s2e03: 0.001070860.06209631-0.13608832
s2e04: 0.013203320.04570249-0.14492210
s2e05: 0.020669100.02667027-0.08938156
s2e06: 0.006429380.04699889-0.10435814
s2e07: 0.019721350.02185226-0.10891060
s2e08: 0.007624380.01202495-0.11047390
s2e09: 0.002099820.05716887-0.13061644
s2e10: -0.007046720.03325467-0.10488553
s2e11: -0.001228620.03870069-0.11406909
s2e12: 0.000644760.01517038-0.12285956
s2e13: 0.011775620.06649195-0.12549487
s2e14: 0.003870980.03339367-0.14517408
s2e15: -0.007053370.03913805-0.10553335
s2e16: 0.016001160.04042090-0.12783965
s2e17: 0.006681500.04421264-0.10212160
s2e18: 0.005873410.01983168-0.11050143
s2e19: -0.004389850.04729915-0.11850170
s2e20: 0.004621160.00504960-0.11298264
s2e21: -0.015959990.01977478-0.09950276
s2e22: 0.004258490.05552521-0.14862647
s3e01: 0.017543570.02465410-0.10399151
s3e02: 0.016769300.01639921-0.07213018
s3e03: -0.003767480.06512267-0.09886191
s3e04: 0.006971470.01359342-0.12727441
s3e05: -0.010337770.05620798-0.14676770
s3e06: 0.049624050.05633446-0.10296766
s3e07: -0.012798970.03614851-0.07191235
s3e08: 0.005038680.01925200-0.12381478
s3e09: 0.006615750.03714735-0.11469014
s3e10: -0.011726280.05532241-0.16351125
s3e11: 0.005140780.03017545-0.14020574
s3e12: 0.003099120.05218539-0.11776136
s3e13: 0.006515820.02327990-0.12012228
s3e14: 0.001963130.03971387-0.12120869
s3e15: 0.009557970.02879683-0.13017773
s3e16: -0.000238130.01717270-0.07845177
s3e17: -0.000698820.01845429-0.09794668
